,Unnamed: 0,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
0,0,"Walmart
3.4",Data Scientist,"Sunnyvale, CA",-1,Job Type : N/A,10000+ employees,1994,company - public,general merchandise & superstores,retail,$10+ billion (usd),"Position Summary...
What you'll do...
Analytical Modeling - Feature relevance and selection. Exploratory data analysis methods and techniques. Advanced statistical methods and best- practice advanced modelling techniques (e.g., graphical models, Bayesian inference, basic level of NLP, Vision, neural networks, SVM, Random Forest etc.). Programming languages like R/Python.
Model Assessment & Validation - Model fit testing, tuning, and validation techniques (e.g., Chi square, ROC curve, root mean square error etc.). Impact of variables and features on model performance.

Model Deployment & Scaling - Impact of variables and features on model performance. Understanding of servers, model formats to store models.









Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 2
years' experience in an analytics or related field. Option 2: Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science,
Information Technology or related field. Option 3: 4 years' experience in an analytics or related field.
Data science, machine learning, optimization models, Master’s degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)
640 W California Avenue, Sunnyvale, CA 94086-4828, United States of America"
1,1,"TikTok
3.8",Data Scientist,"Mountain View, CA",-1,Job Type : Full-time,501 to 1000 employees,2016,company - private,internet,information technology,unknown / non-applicable,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth. The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Design and analyze experiments to verify product hypothesis and direction;
Audit quality of launch experiment results and guarantee correct measurement of product or technical changes' impact;
Keep track of core metrics and attribute metrics changes to root causes;"
2,2,"Indeed
4.3",Principal Data Scientist - Candidate Recommendations,"San Francisco, CA",Employer Provided Salary:$187K - $231K,Job Type : Full-time,10000+ employees,2004,company - private,internet,information technology,$2 to $5 billion (usd),"Your Job
The Candidate Recommendations team builds machine learning models that recommend best-match candidates for jobs posted on Indeed. The team’s mission is to build the world’s best AI matchmaker that can connect all jobs with the right jobseekers. To achieve this, the team leverages unparalleled rich data and state-of-the-art machine learning systems to deliver the highest quality candidate recommendations to employers globally.
As a Principal Data Scientist on the Candidate Recommendations team, you will:
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology"
3,3,"Indeed
4.3",Senior Data Scientist - Moderation Engineering,"San Francisco, CA",Employer Provided Salary:$130K - $156K,Job Type : Full-time,10000+ employees,2004,company - private,internet,information technology,$2 to $5 billion (usd),"Your Job
The Moderation Engineering team’s mission is to protect job seekers from exposure to fraudulent activity on indeed.com. You’ll work closely with other data scientists, engineers, and product managers embedded on our small cross-functional team to build the tools that all Indeed products use to keep our platform safe.

As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and build models using Indeed’s data to help keep job seekers safe. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
4,4,"Thermo Fisher - America
3.8",Data Scientist III,"San Francisco, CA",-1,Job Type : N/A,10000+ employees,1902,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives."
5,5,PrimeNeuro,Data Scientist,"San Francisco, CA",Employer Provided Salary:$95K - $105K,Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Clinical Data Scientist
Job Summary
Do you know someone with autism spectrum disorder? Do you want to use your skills and passion to improve the quality of life for families living with autism? This is an opportunity to apply your data science skills to build products that change how we think about autism through novel clinical biomarkers for autism spectrum disorder.
This Clinical Data Scientist role will be a critical part of the Research and Development team and is responsible for developing algorithms for classification and clustering in clinical data, including: feature engineering, outlier detection and imputing data, classifier development and feature extraction from image data, and clustering of subjects based on features and supporting clinical data. Our data poses the challenge of small data problems; we have a high number of features per observation, and a small number of observations. This is not financial data with millions of records, but rather 100’s or 1000’s of observations with 10’s of thousands of features."
6,6,"Grammarly, Inc.
5.0",Data Scientist,"San Francisco, CA",-1,Job Type : N/A,201 to 500 employees,2009,company - private,internet,information technology,unknown / non-applicable,"Grammarly is continuing to grow our team during the COVID-19 pandemic, conducting fully remote hiring and onboarding processes. All Grammarly team members can work remotely until September 2021. Read more about how we’re supporting our team and communities.
The opportunity
Grammarly empowers people to thrive and connect, whenever and wherever they communicate. Every day, 30 million people and 30,000 teams around the world use our AI-powered writing assistant. All of this begins with our team collaborating in a values-driven and learning-oriented environment.
To achieve our ambitious goals, we’re looking for a Growth Product Lead, Grammarly Business to join and lead our Grammarly Business Growth team. Grammarly has built a successful product that empowers millions of individuals to achieve better outcomes through their writing. With Grammarly Business, we are expanding upon our mission by helping businesses, organizations, enterprises, and other professional teams achieve business results through better communication. As high-stakes communication is central to workplaces and business outcomes, success in this area is a top priority for Grammarly."
7,7,"Salesforce
4.5",Data Science Engineer,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
As a Data Science Engineer, you will be tasked with analyzing large data sets and building expert systems that improve our understanding of consumer behavior and use that knowledge to improve the services we offer. This includes performing complex statistical analysis on non-routine problems and working with engineers to operationalize models at scale into production systems and optimize algorithms in disturbed settings. You will work in an agile environment and interface with product managers, fellow engineers, and teams across Salesforce.

Salesforce Marketing Cloud is a provider of digital marketing automation and analytics software and services. Marketing cloud services are used by businesses and marketers. We are the Salesforce Marketing Cloud Einstein Team that uses machine learning to surface critical insights about consumers that marketers can use to further their business.

In your role as a Data Science Engineer, you will partner with various teams to develop customer-level recommendations and automated solutions, integrating into existing Salesforce technologies and building new ones. You'll also work with others on the team to harness the power of Salesforce’s data with machine learning, to deliver machine learning / artificial intelligence solutions at scale

Equality is a core value at Salesforce. We strive to build a workplace that reflects society and where everyone feels seen, valued, heard and empowered to create the best work of their careers. Learn more about our commitment to Equality



Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
8,8,"Carta
4.0",Data Scientist,"San Francisco, CA",-1,Job Type : N/A,501 to 1000 employees,2012,company - private,venture capital & private equity,finance,unknown / non-applicable,"The Company You’ll Join
At Carta we create owners and make private markets liquid.
We live in a world where some people live on the equity stack and enjoy exponential wealth growth and preferential tax treatment; others live on the debt stack and may work their entire lives for a company and retire only with the cash they’ve managed to save from their paychecks. Our contribution to solving the wealth inequality problem is moving people from the debt stack (payroll) to the equity stack. By making it as easy to issue equity to employees as it is to put them on payroll, we can create more owners.
At Carta, we are helpful, transparent, fair, and kind. We are relentless executors, unconventional thinkers, and masters of our craft.
To learn more, here is what one of our investors wrote about leading our Series F."
9,9,"Salesforce
4.5","Data Scientist, Data Intelligence","San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
Department Overview: Data Science Apps (DSA)
The Data Science Apps (DSA) team, which sits within the broader Data Intelligence organisation, is a family of multi-talented technologists with backgrounds ranging from Artificial Intelligence to Finance. What connects us all is a shared curiosity for how to drive product strategy with data, a passion for getting the job done, and a healthy disregard for constraints.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
10,10,"Mitre Corporation
3.8",Artificial Intelligence/Machine Learning Data Scientist,United States,-1,Job Type : Full-time,5001 to 10000 employees,1958,nonprofit organization,federal agencies,government,$1 to $2 billion (usd),"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.
The Aviation Safety & Analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. We have a treasure trove of data including time series, text and sensor data and challenging problems to solve. We are seeking skills in machine learning, deep learning, text mining, big data and software/application development.
Suitability - FAA"
11,11,"VIZIO, Inc.
4.0",Data Scientist,"San Francisco, CA",-1,Job Type : N/A,501 to 1000 employees,2002,company - public,computer hardware & software,information technology,$2 to $5 billion (usd),"About the Team:
VIZIO Inscape Technologies, LLC. Is pioneering big data products from Smart TV viewing data. We are actively looking for a Research Scientist or recent Ph.D. graduate who is looking to start a new career in Data Science and Analytics. As part of our highly talented Data Science team, you will be reporting into the Director of Data Science. This is an excellent opportunity to grow and start a career as a product-driven Data Scientist.

About You:
Have a STEM PhD from a well-regarded research university.
Are fluent in Python and write high quality maintainable code.
High sense of ownership and results driven."
12,12,"Bolt
4.5",Data Scientist,"San Francisco, CA",-1,Job Type : Full-time,51 to 200 employees,2014,company - private,computer hardware & software,information technology,unknown / non-applicable,"We are witnessing a massive shift of consumer presence from offline to online. With it, there is a need for technologies that enable online businesses to thrive. Bolt is at the center of this universe leading the next generation of ecommerce, having created a best-in-class buying experience from checkout to fraud detection, payments and more. With our help, retailers can successfully compete with the online retail giants that have the means to invest in technology.

The Data Platform team works closely with all teams and cross-functional partners (including product, engineering, and data analysts) to build a foundational data stack powering business analytics.

We are looking for someone to play a mission-critical role in designing and building the data mining algorithms, and data analytics pipelines at Bolt. We’re looking for someone with the experience, creativity, and passion for producing world-class technology who can support our product, leadership and marketing teams with insights gained from analyzing our data. Other teams at Bolt, other companies, and consumers alike will rely heavily on what you build, and you’ll have a ton of trust and responsibility. If challenges excite you, and you’re ready for a large one, let us know."
13,13,"Lawrence Berkeley National Laboratory
4.3",Data Scientist,"San Francisco, CA",-1,Job Type : N/A,1001 to 5000 employees,1931,government,state & regional agencies,government,$500 million to $1 billion (usd),"Lawrence Berkeley Lab’s (LBL) Joint Genome Institute (JGI) has an opening for a Genome Annotation Scientist (Data Scientist) to join the team.

Take advantage of an exciting opportunity to employ your scientific and computational skills as part of the JGI Plant Science Program, the world’s largest producer of high-quality plant genome assemblies and annotations. In this role, you will work at the JGI within the Plant Comparative Analysis group to generate new as well as improved plant genome annotations and facilitate the acquisition, incorporation, and display of functional, genetic, and other genome-anchored data in the Phytozome Genomics Portal (https://phytozome-next.jgi.doe.gov). Your responsibilities include the curation and assessment of relevant plant transcriptomic datasets and assembled genomes, running and troubleshooting the annotation pipeline, analyzing the resulting gene predictions in coordination with internal and external scientists, evaluating genome-specific modifications and tuning of the pipeline components, and incorporating the data into the Phytozome portal."
14,14,"Gap Inc.
3.7",Data Scientist,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1969,company - public,"department, clothing, & shoe stores",retail,$10+ billion (usd),"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.
What you'll do"
15,15,"Forward
4.5",Data Scientist (Telemedicine Analytics),"San Francisco, CA",-1,Job Type : Full-time,unknown,2016,company - private,health care services & hospitals,health care,unknown / non-applicable,"Forward is on a bold mission to make high-quality healthcare available to a billion people across the globe. We’re building the world’s most advanced healthcare platform from the ground up, combining hardware, software, and doctors under one roof.

Forward was founded in January 2016 by former executives and engineering leaders from Google and Uber. We are funded by some of the world's best investors and entrepreneurs, including Founder's Fund, Khosla Ventures, First Round Capital, Eric Schmidt (Google/Alphabet Chairman), Marc Benioff (Salesforce Founder), Joe Lonsdale (Palantir Founder), and Garrett Camp (Uber co-Founder).

Press and Videos:
Virtual Tour of Forward [YouTube]
""Healthcare is Backwards"" [Medical Lead Blog Post]
'Forward at Home' Product Launch [TechCrunch]
""Health Moves Forward"" [CEO Blog Post]"
