,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
0,"Roche
4.3",Principal Data Scientist I (signal processing),"Santa Clara, CA",$118K - $188K (Glassdoor est.),Job Type : Full-time,5001 to 10000 employees,1896,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),"Impact Healthcare
Roche Sequencing is developing ground-breaking next-generation sequencing products that allow scientists/clinicians powerful new avenues to investigate DNA, the blueprint of any lifeforms, in days giving them the ability to understand health conditions such as cancer, HIV, COVID19 and more! We are not only changing science but changing lives through the development of frontier technologies that accelerate personalized healthcare.
Do you enjoy experimenting on groundbreaking technology? If so, be prepared to love your job with us!
We are looking for a Principal Data Scientist to develop innovative Signal Processing, Machine Learning and Deep Learning algorithms for real-time primary analysis on a DNA sequencing instrument. You will also perform deep dives into data and generate insights to help guide experimental teams in hitting both near-term research targets and long-term objectives."
1,"Metromile
4.3",Staff Data Scientist,"San Francisco, CA",$106K - $186K (Glassdoor est.),Job Type : Full-time,201 to 500 employees,2011,company - public,insurance carriers,insurance,unknown / non-applicable,"About Us

On the off chance you've thought about insurance, it's likely because you've insured something you love, not because you loved your insurance company. Metromile is out to change that. As an insurtech company powered by data science and customer-centric design, we're building a community of drivers who come for the savings and stay for the experience.

With technology at its core, Metromile is reimagining insurance to make it fairer and actually delightful. We're obsessed with savings, service, and features -- street sweeping alerts, monthly mileage summaries, fuel trackers and more -- that engage a customer all along their journey. We're on the forefront of disrupting a $250 billion auto insurance category that has gone unchanged for over 80 years.

Metromile's diverse team combines the best of Silicon Valley technologists with veterans from Fortune 500 insurers and financial services giants. This management structure ensures that the business is focused on growth, customer experience and technology innovation while also balancing unit economics and profitability. The team is growing quickly across its San Francisco, Tempe, and Boston offices, as well as remotely. Our customer service, claims, and sales teams are all based in-house in the US.

Thanks to what makes us different -- our people and our technology -- we've been honored with a slew of awards. A few recent ones include: named a Benzinga ""Best Insurtech"" finalist, a Top Company to Work For , one of the Healthiest Employers in Phoenix , and a Best Place to Work . And, our CEO was recognized as a 2020 40 under 40 .

About The Role

At a pivotal inflection point of growth, Metromile is seeking a Staff Data Scientist to work with partners from across our company (actuarial, claims, marketing, telematics, and underwriting) to scale an effective business. This role will provide technical leadership in data practices, modeling infrastructure/architecture, and algorithmic design as a core member of a growing team. Your models will have an outsized impact in optimizing the balance between profitability, risk, and growth; enabling dynamic customer experiences; and powering our pricing strategies.

Data is our product; understanding how driver behavior relates to risk is at the core of our insurance business and will disrupt the way the industry currently operates. For one project, you might draw on data from in-car sensors, mobile devices, and connected vehicles to improve how quickly we are able to assess driving risk. For another, you might use the data we collect during the quote-and-enroll sign-up process to streamline the customer experience.

If you are excited by the opportunity to explore diverse data sources and work on impactful projects central to our company's mission, we'd love to hear from you.

You will

Own end-to-end data science projects from the exploration phase to implementation in production to post-production monitoring.
Lead innovation on our infrastructure for managing features for, training, and deploying machine learning models (both batch and real-time) based on your expertise
Communicate data science models to a range of stakeholders, incorporating their feedback to ensure our models have the best impacts on the business
Use your models to influence decisions across the business and gain support from executive leadership
Work with a diverse team of collaborative data professionals who enjoy technical discussions, learning new methodologies, and helping each other improve through feedback and shared research/tools

You will

Own end-to-end data science projects from the exploration phase to implementation in production to post-production monitoring.
Improve our infrastructure for training and deploying machine learning models, both batch and real-time
Communicate data science models to a range of stakeholders, incorporating their feedback to ensure our models have the best impacts on the business
Use your models to influence decisions across the business and gain support from executive leadership
Work with a diverse team of collaborative data professionals who enjoy technical discussions and learning new methodologies.

About You

No degree required. While we appreciate experience in a quantitative field like statistics, economics, applied math, operations research, physics or engineering, we recognize there are many paths to gain that experience and would love to hear about yours
4+ years experience building and deploying machine learning models in production
Proficiency with SQL for writing efficient queries on large datasets
Proficiency with Python for statistical and numerical modeling
Experience with Python and/or Scala APIs of Apache Spark, or other tools to work efficiently with data at scale (e.g., billions of rows from sensors)
Experience with AWS and/or GCP cloud platforms
Ability to collaborate and communicate with cross-functional partners to build the business

Bonus Points

Experience within the fintech, insurtech, or autonomous vehicle space
Prior work in developing machine learning infrastructure

What's In It For You

Competitive salary and stock options
Excellent benefits package (health, dental, vision, 401K- with employer match)
Well-being reimbursement, includes home office equipment
Flexible paid vacation program and a culture that encourages using it (e.g., designated no-meeting days so teams can take flex holidays)
Flexible hours
Remote work options
12 paid weeks of leave for child birth/adoption
Annual anniversary gifts (6 week paid sabbatical at 5 years)

If you got to this point, we hope you're feeling excited about the role. Even if you don't feel that you meet every single requirement, we still encourage you to apply. We're eager to meet people that believe in Metromile's mission and can contribute to our team in a variety of ways – not just candidates who check all the boxes.

Metromile is committed to building a diverse, inclusive and equitable culture at all levels. We nurture a sense of community by investing in one another's unique backgrounds and experiences to drive business success and positively influence our services and products.

Metromile is proud to be an equal opportunity employer. We will not discriminate against any applicant or employee on the basis of age, race, color, ethnicity, national origin, citizenship, religion, creed, sex, sexual orientation, gender, gender identity, or expression (including against any individual that is transitioning, has transitioned, or is perceived to be transitioning), marital status or civil partnership/union status, physical or mental disability, medical condition, pregnancy, childbirth, genetic information, military, and veteran status, or any other basis prohibited by applicable federal, state or local law."
2,"Personalis, Inc
3.9","Sr. Scientist, Product Development","Menlo Park, CA",$75K - $162K (Glassdoor est.),Job Type : Full-time,201 to 500 employees,2011,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$25 to $50 million (usd),"Personalis is a rapidly growing cancer genomics company transforming the development of next-generation therapies by providing more comprehensive molecular data about each patient's cancer and immune response. Our ImmunoID NeXT Platform® is enabling the development of next generation immuno-oncology therapeutics and diagnostics.
Summary:
The Senior Scientist within the Process/Product Development group will support the development, optimization, validation and documentation of new or existing NGS-based IVD products in a regulated environment (FDA-QSR, CLIA, CAP, ISO regulations). The ideal candidate should be an enthusiastic, flexible team player with IVD product development experience.
Responsibilities:
Lead execution of development, verification, and validation studies for NGS-based IVD product.
Lead documentation effort to support QSR design control, functional specifications, performance and study results, and data management."
3,"LGC Limited
3.5",Senior Scientist,"Petaluma, CA",$73K - $176K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,1842,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Seeking a highly motivated individual for employment in our Research and Development group located in Petaluma, CA. This position requires an individual with strong problem solving skills, good laboratory technique, and the ability to design and execute complex experiments. The successful candidate will have the ability to innovate and implement changes in procedure and processes to achieve improved results, while maintaining attention to detail and complete documentation of experiments performed. This position will entail synthetic chemistry, running of automated oligonucleotide synthesizers, and analysis of oligonucleotides.

Areas of Responsibility:
This position requires a talented and self-managing individual to work closely with members of the research and development group to assist in the preparation of novel oligonucleotides on non-standard solid supports and/or linkers to enable new approaches to biology. This is a hands-on research position."
4,"Alkahest, Inc.",Scientist - MS Proteomics,"San Carlos, CA",$91K - $187K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Scientist - MS Proteomics
Uniquely positioned to enhance quality of life in aging, at Alkahest, we are pioneering science that is rapidly being translated to the clinic. Our approaches utilize in vivo, in vitro, proteomic, and molecular techniques to identify new therapeutics and apply them to patients.
We are seeking a highly motivated, resourceful, and detail-oriented scientist to join our collaborative and supportive mass spectrometry-based proteomics team. This position will be key in advancing our mass spectrometry platform as we establish and implement new enabling technologies to discover, characterize and validate biomarker and therapeutic target candidate proteins in complex biological samples. This position provides a unique opportunity to shape next generation MS efforts at Alkahest by integrating state-of-the-art approaches for sample preparation, data acquisition and data analysis with a focus on plasma proteomics.
Our ideal candidate will be an enthusiastic self-starter with a positive attitude, excellent organizational and interpersonal skills, and the ability to learn, develop, and implement MS methodology efficiently. The researcher will be responsible for designing and executing MS proteomics studies to analyze clinical and research samples on Thermo Orbitrap instruments, and actively contribute to MS data analysis. He/she will have opportunities to learn and develop state-of-the-art MS proteomics techniques, drive the implementation of high-throughput sample preparation methods, and utilize them to facilitate the development of novel therapeutics for aging diseases. The role requires dedication to drive science, flexibility, and efficient interaction with a team of scientists and research associates to advance multiple projects in parallel."
5,"LGC Limited
3.5","Associate Scientist, Quality Control","Petaluma, CA",$39K - $87K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,1842,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Position Summary:
The Associate Scientist, Quality Control (QC) is responsible for development of QC procedures and processes, developing staff, fostering a culture of safety and quality, and participating in QC analysis. The scientist collaborates with production scheduling, instrumentation and maintenance within the QC space.
Areas of Responsibility:
Strong verbal and written communication skills.
Initiating, coordinating, and enforcing systems, policies, and procedures.
Training and mentoring of team members to develop technical growth opportunities."
6,"MarinHealth Medical Center
3.4",Clinical Laboratory Scientist,"Greenbrae, CA",$57K - $118K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,1952,hospital,health care services & hospitals,health care,$100 to $500 million (usd),"City:
Greenbrae
State/Territory:
CA
ABOUT MARINHEALTH a UCSF Affiliate
Come and be a part of our healing team at the award-winning MarinHealth! Ranked in the top 3% of general hospitals in the country, we have made great strides since returning to our roots as an independent hospital. As Marin County’s only acute hospital and a vital resource for a wide range of essential health care services, it is our mission—and our passion—to excel in every medical specialty. We attract the finest physicians and employees who appreciate having the best of both worlds: the resources and medical sophistication of an academic medical center combined with the personalized, caring touch of an independent hospital. We have an exceptionally collaborative team that adheres to the highest service excellence standards to ensure that we deliver world-class, personalized care to patients. Our Joint-Commission accredited hospital has won numerous awards and certifications in delivering best-in-class health care in the San Francisco Bay Area."
7,"Pyramid Consulting, Inc
3.9",Scientist - II (Associate) - CA Only Scientist - II (Associate) - CA Only,"South San Francisco, CA",-1,Job Type : Full-time,1001 to 5000 employees,1996,company - private,computer hardware & software,information technology,$100 to $500 million (usd),"Job Description:

The Oncology team in San Francisco, CA has a very exciting opportunity as a Wet Bench Scientist. This role will target cancer discovery! • Executing a diverse array of in vitro experiments in early target discovery and validation for oncology. • Working with various mammalian cells, 3D spheroid culture and CRISPR gene editing. • may assist in the design of laboratory experiments, techniques, and protocols. • Immunoassays (ELISA, MSD, Luminex, HTRF) and protein quantification (Western blot) • Performs related laboratory maintenance such as maintaining and cleaning equipment and ordering supplies • May occasionally help with data analysis • About you – You are energetic and have a passion for the greater good! You are committed to excellence! You are a self-driven, motivated multi-tasker. You are organized and meticulous. You are collaborative and communicate well with others. You motivate and inspire others to share their ideas.

Qualifications:

• BS degree in Biological Sciences with 5+ years of relevant laboratory experience in Oncology, Immunology, Molecular Biology, or a related field or MS degree in Biological Sciences with 2+ years of research experience in an industrial setting • Would entertain an Associate’s degree with commensurate level of experience. • Experience in general cell biology methods including maintenance of cell lines and/or primary cells, cell separation/expansion. • Familiar with mammalian cell culture • Prior experience with in-vitro functional assays using cell lines and/or primary cells • Experience in immunoassays (ELISA, MSD, Luminex, HTRF) and protein quantification (Western blot) • Candidate should be willing to learn new skills/techniques. • Data analysis experience • Ability to work with a cross-functional team • Excellent communication and record-keeping skills. • Ability to work collaboratively with multiple teams • Preferred Qualifications: • Prior experience with CRISPR gene editing is highly desirable • Hands on experience with 3D spheroid/organoids culture.

#MORR"
8,"AMPAC Fine Chemicals
3.1",Process Scientist II,"Rancho Cordova, CA",$59K - $109K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2005,subsidiary or business segment,biotech & pharmaceuticals,biotech & pharmaceuticals,$100 to $500 million (usd),"AMPAC Fine Chemicals is a contract manufacturing company focused on the development and manufacture of pharmaceutical compounds. We are looking for Process Scientists to be part of a team that is developing cost effective solutions for our Pharmaceutical partners.
This position is responsible for production support and process development of pharmaceutical ingredients:
Develops scalable manufacturing processes in an cGMP environment
Conducts experiments to optimize processes for commercial manufacture
Meets with groups internally and externally for project meetings and prepares data for presentations
Effectively participates in Process R&D team meetings
Works under supervision of more senior scientists or scientific directors to advance the company pipeline"
9,TrueBinding,"Scientist, structural biology","Foster City, CA",-1,Job Type : Full-time,-1,-1,-1,-1,-1,-1,"About TrueBinding, Inc.
TrueBinding, Inc is a biotherapeutics development company focused on creating new and exciting antibody for metabolic diseases and cancer, based on our proprietary TrueBinding platform with great unmet medical needs.
JOB SUMMARY
We are seeking a highly motivated structural biologist to study protein complexes discovered by Truebinding team.
Preferred Candidates
PhD/Master with focus on structural biology
Experience with large protein complex research"
